"STATE/UT","CRIME HEAD","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"ANDHRA PRADESH","MURDER OF SCs",45,60,33,39,37,52,46,48,35,43,64,54
"ARUNACHAL PRADESH","MURDER OF SCs",0,0,0,0,1,0,0,0,0,0,0,0
"ASSAM","MURDER OF SCs",0,3,8,0,21,5,11,9,0,0,0,0
"BIHAR","MURDER OF SCs",28,33,9,14,12,16,26,46,22,24,29,27
"CHHATTISGARH","MURDER OF SCs",8,11,12,25,6,10,11,7,11,8,2,6
"GOA","MURDER OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"GUJARAT","MURDER OF SCs",17,34,12,11,10,20,17,13,20,15,12,23
"HARYANA","MURDER OF SCs",7,12,9,14,10,7,10,6,7,13,14,19
"HIMACHAL PRADESH","MURDER OF SCs",1,2,3,2,0,0,0,0,1,0,1,0
"JAMMU & KASHMIR","MURDER OF SCs",1,1,1,0,0,0,0,0,0,0,0,0
"JHARKHAND","MURDER OF SCs",6,1,4,2,13,5,13,7,5,4,4,1
"KARNATAKA","MURDER OF SCs",22,19,31,21,18,28,15,27,38,16,31,36
"KERALA","MURDER OF SCs",5,2,3,2,4,3,3,3,3,4,3,1
"MADHYA PRADESH","MURDER OF SCs",72,79,83,93,96,76,86,87,101,102,99,88
"MAHARASHTRA","MURDER OF SCs",14,12,19,10,15,21,16,23,27,24,26,36
"MANIPUR","MURDER OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"MEGHALAYA","MURDER OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"MIZORAM","MURDER OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"NAGALAND","MURDER OF SCs",1,3,5,0,0,3,0,0,0,0,0,0
"ODISHA","MURDER OF SCs",9,11,8,21,9,12,13,17,25,9,13,11
"PUNJAB","MURDER OF SCs",5,3,0,0,3,3,2,0,3,4,5,4
"RAJASTHAN","MURDER OF SCs",51,44,30,45,56,60,53,53,65,56,51,66
"SIKKIM","MURDER OF SCs",0,0,1,3,0,0,0,1,2,0,0,1
"TAMIL NADU","MURDER OF SCs",38,34,16,25,30,26,39,31,27,20,29,37
"TRIPURA","MURDER OF SCs",0,0,0,0,0,0,0,1,0,0,1,2
"UTTAR PRADESH","MURDER OF SCs",423,371,288,321,323,318,310,239,235,229,286,234
"UTTARAKHAND","MURDER OF SCs",10,4,5,6,5,7,1,4,2,0,3,3
"WEST BENGAL","MURDER OF SCs",0,0,0,0,0,1,1,0,0,0,0,0
"TOTAL (STATES)","MURDER OF SCs",763,739,580,654,669,673,673,622,629,571,673,649
"A & N ISLANDS","MURDER OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"CHANDIGARH","MURDER OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"D & N HAVELI","MURDER OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"DAMAN & DIU","MURDER OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"DELHI","MURDER OF SCs",0,0,1,0,0,0,0,0,0,0,0,0
"LAKSHADWEEP","MURDER OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","MURDER OF SCs",0,0,0,0,0,0,1,0,0,1,0,2
"TOTAL (UTs)","MURDER OF SCs",0,0,1,0,0,0,1,0,0,1,0,2
"TOTAL (ALL-INDIA)","MURDER OF SCs",763,739,581,654,669,673,674,622,629,572,673,651
"ANDHRA PRADESH","RAPE OF SCs",69,98,79,66,74,97,105,88,99,100,131,104
"ARUNACHAL PRADESH","RAPE OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"ASSAM","RAPE OF SCs",0,0,7,1,14,11,8,16,0,0,0,0
"BIHAR","RAPE OF SCs",35,36,6,14,16,19,32,23,19,16,29,39
"CHHATTISGARH","RAPE OF SCs",52,64,46,77,59,49,57,55,55,44,40,63
"GOA","RAPE OF SCs",0,0,0,0,1,0,0,0,0,0,0,0
"GUJARAT","RAPE OF SCs",15,17,23,19,20,19,30,30,28,34,45,45
"HARYANA","RAPE OF SCs",25,26,24,33,35,31,21,60,32,37,56,67
"HIMACHAL PRADESH","RAPE OF SCs",7,12,7,6,9,11,6,5,7,5,5,13
"JAMMU & KASHMIR","RAPE OF SCs",1,4,2,0,0,0,0,0,0,0,0,0
"JHARKHAND","RAPE OF SCs",11,9,3,9,8,15,12,21,8,10,15,8
"KARNATAKA","RAPE OF SCs",20,22,26,14,30,27,20,29,39,27,32,43
"KERALA","RAPE OF SCs",75,48,24,49,44,62,69,67,62,77,106,99
"MADHYA PRADESH","RAPE OF SCs",305,412,349,335,340,335,343,357,321,316,327,367
"MAHARASHTRA","RAPE OF SCs",51,64,72,63,83,87,80,93,105,89,95,97
"MANIPUR","RAPE OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"MEGHALAYA","RAPE OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"MIZORAM","RAPE OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"NAGALAND","RAPE OF SCs",0,3,2,0,0,1,0,0,0,0,0,0
"ODISHA","RAPE OF SCs",44,38,29,45,33,52,57,48,63,51,35,79
"PUNJAB","RAPE OF SCs",10,12,8,9,9,11,1,5,11,18,9,12
"RAJASTHAN","RAPE OF SCs",151,123,154,126,136,132,153,153,163,200,216,202
"SIKKIM","RAPE OF SCs",0,1,2,1,0,0,4,3,1,0,2,3
"TAMIL NADU","RAPE OF SCs",27,33,25,23,19,21,27,17,11,11,11,34
"TRIPURA","RAPE OF SCs",0,0,0,1,5,0,1,2,0,0,2,4
"UTTAR PRADESH","RAPE OF SCs",412,305,194,258,224,229,318,375,317,311,397,285
"UTTARAKHAND","RAPE OF SCs",2,3,6,6,12,6,4,6,9,3,3,5
"WEST BENGAL","RAPE OF SCs",3,1,0,2,1,2,1,0,0,1,1,7
"TOTAL (STATES)","RAPE OF SCs",1315,1331,1088,1157,1172,1217,1349,1453,1350,1350,1557,1576
"A & N ISLANDS","RAPE OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"CHANDIGARH","RAPE OF SCs",1,0,1,0,0,0,0,0,0,0,0,0
"D & N HAVELI","RAPE OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"DAMAN & DIU","RAPE OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"DELHI","RAPE OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"LAKSHADWEEP","RAPE OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"PUDUCHERRY","RAPE OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"TOTAL (UTs)","RAPE OF SCs",1,0,1,0,0,0,0,0,0,0,0,0
"TOTAL (ALL-INDIA)","RAPE OF SCs",1316,1331,1089,1157,1172,1217,1349,1453,1350,1350,1557,1576
"ANDHRA PRADESH","KIDNAPPING AND ABDUCTION OF SCs",22,18,27,28,21,12,25,18,19,18,19,11
"ARUNACHAL PRADESH","KIDNAPPING AND ABDUCTION OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"ASSAM","KIDNAPPING AND ABDUCTION OF SCs",0,4,4,1,25,27,15,20,0,0,0,0
"BIHAR","KIDNAPPING AND ABDUCTION OF SCs",8,1,4,6,5,2,10,29,13,20,29,0
"CHHATTISGARH","KIDNAPPING AND ABDUCTION OF SCs",8,10,7,7,3,1,3,0,0,0,1,3
"GOA","KIDNAPPING AND ABDUCTION OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"GUJARAT","KIDNAPPING AND ABDUCTION OF SCs",20,27,18,26,18,23,22,18,34,28,35,32
"HARYANA","KIDNAPPING AND ABDUCTION OF SCs",15,16,9,6,15,15,13,32,32,23,18,27
"HIMACHAL PRADESH","KIDNAPPING AND ABDUCTION OF SCs",0,1,0,1,0,0,0,0,0,0,0,0
"JAMMU & KASHMIR","KIDNAPPING AND ABDUCTION OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"JHARKHAND","KIDNAPPING AND ABDUCTION OF SCs",4,3,0,3,1,2,4,5,4,5,11,2
"KARNATAKA","KIDNAPPING AND ABDUCTION OF SCs",1,3,2,2,8,4,4,8,6,16,11,5
"KERALA","KIDNAPPING AND ABDUCTION OF SCs",0,2,2,0,0,3,1,3,2,2,6,2
"MADHYA PRADESH","KIDNAPPING AND ABDUCTION OF SCs",31,49,33,34,19,37,33,27,52,69,62,64
"MAHARASHTRA","KIDNAPPING AND ABDUCTION OF SCs",5,10,7,9,8,5,13,24,10,25,12,23
"MANIPUR","KIDNAPPING AND ABDUCTION OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"MEGHALAYA","KIDNAPPING AND ABDUCTION OF SCs",0,0,0,0,0,0,0,0,0,0,0,0
"MIZORAM","KIDNAPPING AND ABDUCTION OF SCs",0,1,0,0,0,0,0,0,0,0,0,0
"NAGALAND","KIDNAPPING AND ABDUCTION OF SCs",0,0,0,0,0,1,0,0,0,0,0,0
