STATE/UT,CRIME HEAD,2013
Andhra Pradesh,Arson,5
Arunachal Pradesh,Arson,0
Assam,Arson,0
Bihar,Arson,51
Chhattisgarh,Arson,1
Goa,Arson,0
Gujarat,Arson,10
Haryana,Arson,2
Himachal Pradesh,Arson,0
Jammu & Kashmir,Arson,0
Jharkhand,Arson,1
Karnataka,Arson,1
Kerala,Arson,1
Madhya Pradesh,Arson,25
Maharashtra,Arson,10
Manipur,Arson,0
Meghalaya,Arson,0
Mizoram,Arson,0
Nagaland,Arson,0
Odisha,Arson,20
Punjab,Arson,0
Rajasthan,Arson,26
Sikkim,Arson,0
Tamil Nadu,Arson,6
Tripura,Arson,0
Uttar Pradesh,Arson,29
Uttarakhand,Arson,0
West Bengal,Arson,1
Total (State),Arson,189
A&N Islands,Arson,0
Chandigarh,Arson,0
D&N Haveli,Arson,0
Daman & Diu,Arson,0
Delhi UT,Arson,0
Lakshadweep,Arson,0
Puducherry,Arson,0
Total (UTs),Arson,0
Total (All-India),Arson,189
Andhra Pradesh,Dacoity,3
Arunachal Pradesh,Dacoity,0
Assam,Dacoity,0
Bihar,Dacoity,0
Chhattisgarh,Dacoity,0
Goa,Dacoity,0
Gujarat,Dacoity,9
Haryana,Dacoity,1
Himachal Pradesh,Dacoity,0
Jammu & Kashmir,Dacoity,0
Jharkhand,Dacoity,0
Karnataka,Dacoity,3
Kerala,Dacoity,0
Madhya Pradesh,Dacoity,0
Maharashtra,Dacoity,26
Manipur,Dacoity,0
Meghalaya,Dacoity,0
Mizoram,Dacoity,0
Nagaland,Dacoity,0
Odisha,Dacoity,1
Punjab,Dacoity,0
Rajasthan,Dacoity,0
Sikkim,Dacoity,0
Tamil Nadu,Dacoity,0
Tripura,Dacoity,0
Uttar Pradesh,Dacoity,2
Uttarakhand,Dacoity,0
West Bengal,Dacoity,0
Total (State),Dacoity,45
A&N Islands,Dacoity,0
Chandigarh,Dacoity,0
D&N Haveli,Dacoity,0
Daman & Diu,Dacoity,0
Delhi UT,Dacoity,0
Lakshadweep,Dacoity,0
Puducherry,Dacoity,0
Total (UTs),Dacoity,0
Total (All-India),Dacoity,45
Andhra Pradesh,Hurt,659
Arunachal Pradesh,Hurt,0
Assam,Hurt,0
Bihar,Hurt,289
Chhattisgarh,Hurt,49
Goa,Hurt,0
Gujarat,Hurt,273
Haryana,Hurt,9
Himachal Pradesh,Hurt,0
Jammu & Kashmir,Hurt,0
Jharkhand,Hurt,268
Karnataka,Hurt,249
Kerala,Hurt,275
Madhya Pradesh,Hurt,817
Maharashtra,Hurt,167
Manipur,Hurt,0
Meghalaya,Hurt,0
Mizoram,Hurt,0
Nagaland,Hurt,0
Odisha,Hurt,646
Punjab,Hurt,37
Rajasthan,Hurt,574
Sikkim,Hurt,3
Tamil Nadu,Hurt,260
Tripura,Hurt,13
Uttar Pradesh,Hurt,302
Uttarakhand,Hurt,8
West Bengal,Hurt,2
Total (State),Hurt,4900
A&N Islands,Hurt,0
Chandigarh,Hurt,0
D&N Haveli,Hurt,0
Daman & Diu,Hurt,1
Delhi UT,Hurt,0
Lakshadweep,Hurt,0
Puducherry,Hurt,0
Total (UTs),Hurt,1
Total (All-India),Hurt,4901
Andhra Pradesh,Kidnapping & Abduction,14
Arunachal Pradesh,Kidnapping & Abduction,0
Assam,Kidnapping & Abduction,0
Bihar,Kidnapping & Abduction,9
Chhattisgarh,Kidnapping & Abduction,7
Goa,Kidnapping & Abduction,0
Gujarat,Kidnapping & Abduction,38
Haryana,Kidnapping & Abduction,37
Himachal Pradesh,Kidnapping & Abduction,0
Jammu & Kashmir,Kidnapping & Abduction,0
Jharkhand,Kidnapping & Abduction,4
Karnataka,Kidnapping & Abduction,11
Kerala,Kidnapping & Abduction,2
Madhya Pradesh,Kidnapping & Abduction,72
Maharashtra,Kidnapping & Abduction,33
Manipur,Kidnapping & Abduction,0
Meghalaya,Kidnapping & Abduction,0
Mizoram,Kidnapping & Abduction,0
Nagaland,Kidnapping & Abduction,0
Odisha,Kidnapping & Abduction,22
Punjab,Kidnapping & Abduction,8
Rajasthan,Kidnapping & Abduction,53
Sikkim,Kidnapping & Abduction,2
Tamil Nadu,Kidnapping & Abduction,5
Tripura,Kidnapping & Abduction,1
Uttar Pradesh,Kidnapping & Abduction,304
Uttarakhand,Kidnapping & Abduction,4
West Bengal,Kidnapping & Abduction,2
Total (State),Kidnapping & Abduction,628
A&N Islands,Kidnapping & Abduction,0
Chandigarh,Kidnapping & Abduction,0
D&N Haveli,Kidnapping & Abduction,0
Daman & Diu,Kidnapping & Abduction,0
Delhi UT,Kidnapping & Abduction,0
Lakshadweep,Kidnapping & Abduction,0
Puducherry,Kidnapping & Abduction,0
Total (UTs),Kidnapping & Abduction,0
