State,a&n islands,andhra pradesh,arunachal pradesh,assam,bihar,chandigarh,chhattisgarh,d&n haveli,daman & diu,delhi,goa,gujarat,haryana,himachal pradesh,jammu & kashmir,jharkhand,karnataka,kerala,lakshadweep,madhya pradesh,maharashtra,manipur,meghalaya,mizoram,nagaland,odisha,puducherry,punjab,rajasthan,sikkim,tamil nadu,telangana,tripura,uttar pradesh,uttarakhand,west bengal
Rapes - 2001,3,871,33,817,888,18,959,6,0,381,12,286,398,124,169,567,293,562,0,2851,1302,20,26,52,17,790,9,298,1049,8,423,,102,1958,74,709
Rapes - 2002,2,1002,38,970,1040,18,992,4,0,403,12,267,361,137,192,797,292,499,1,2891,1352,14,38,76,17,691,6,299,1051,6,534,,108,1415,89,759
Rapes - 2003,2,946,31,1095,985,18,898,1,5,490,31,236,353,126,211,712,321,394,2,2738,1268,18,40,54,14,725,2,380,1050,10,557,,114,911,107,1002
Rapes - 2004,10,1016,42,1171,1390,19,969,7,1,551,37,339,386,153,218,797,291,480,0,2875,1388,31,54,20,18,770,4,390,1038,3,618,,160,1397,115,1475
Rapes - 2005,4,935,35,1238,1147,33,990,5,2,658,20,324,461,141,201,753,343,478,0,2921,1545,25,63,37,17,799,6,398,993,18,571,,162,1217,133,1686
Rapes - 2006,6,1049,37,1244,1232,19,995,6,3,623,21,354,608,113,250,799,400,601,0,2900,1500,40,74,72,23,985,9,442,1085,20,457,,189,1314,147,1731
Rapes - 2007,3,1070,48,1437,1555,22,982,7,1,598,20,316,488,159,288,855,436,512,1,3010,1451,20,82,83,13,939,9,519,1238,24,523,,157,1648,117,2106
Rapes - 2008,12,1257,42,1438,1302,20,978,6,0,466,30,374,631,157,219,791,446,568,2,2937,1558,38,88,77,19,1113,8,517,1355,20,573,,204,1871,87,2263
Rapes - 2009,18,1188,59,1631,929,29,976,4,1,469,47,433,603,183,237,719,509,568,1,2998,1483,31,112,83,22,1023,1,511,1519,18,596,,190,1759,111,2336
Rapes - 2010,24,1362,47,1721,795,31,1012,3,1,507,36,408,720,160,245,773,586,634,0,3135,1599,34,149,92,16,1025,3,546,1571,18,686,,238,1563,121,2311
Rapes - 2011,13,1442,42,1700,934,27,1053,4,1,572,29,439,733,168,277,784,636,1132,0,3406,1701,53,130,77,23,1112,7,479,1800,16,677,,205,2042,129,2363
Rapes - 2012,12,1341,46,1716,927,27,1034,3,5,706,55,473,668,183,303,812,621,1019,0,3425,1839,63,164,103,21,1458,13,680,2049,34,737,,229,1963,148,2046
Rapes - 2013,27,1635,75,1937,1128,45,1380,5,8,1636,86,732,971,250,378,1204,1030,1221,2,4335,3063,72,183,89,31,1832,17,888,3285,43,923,,233,3050,228,1685
Rapes - 2014,32,961,83,1980,1127,59,1436,5,2,2096,95,841,1174,283,331,1050,1324,1347,1,5076,3438,75,118,120,30,1978,10,981,3759,47,455,979,239,3467,270,3409
