state_ut,district,year,rape,kidnapping_abduction,dowry_deaths,assault_intnt_outrage_modesty,inslt_modesty_women,cruelty_husban_reltvs,in_trafficking
andhra pradesh,adilabad,2001,50,30,16,149,34,175,0
andhra pradesh,anantapur,2001,23,30,7,118,24,154,0
andhra pradesh,chittoor,2001,27,34,14,112,83,186,0
andhra pradesh,cuddapah,2001,20,20,17,126,38,57,0
andhra pradesh,east godavari,2001,23,26,12,109,58,247,0
andhra pradesh,guntakal rly.,2001,0,0,0,1,0,0,0
andhra pradesh,guntur,2001,54,51,7,139,129,378,0
andhra pradesh,hyderabad city,2001,37,39,24,118,27,746,0
andhra pradesh,karimnagar,2001,56,49,62,414,81,224,0
andhra pradesh,khammam,2001,47,30,17,180,336,172,0
andhra pradesh,krishna,2001,37,21,10,208,72,265,0
andhra pradesh,kurnool,2001,29,47,13,141,107,92,0
andhra pradesh,mahaboobnagar,2001,59,27,14,176,41,69,0
andhra pradesh,medak,2001,35,20,26,100,25,192,0
andhra pradesh,nalgonda,2001,35,19,31,188,59,214,0
andhra pradesh,nellore,2001,46,80,10,207,228,287,0
andhra pradesh,nizamabad,2001,21,21,19,55,15,228,0
andhra pradesh,prakasham,2001,19,12,5,140,100,119,0
andhra pradesh,ranga reddy,2001,72,83,37,113,55,421,7
andhra pradesh,secunderabad rly.,2001,0,0,1,0,1,0,0
andhra pradesh,srikakulam,2001,8,12,6,38,47,108,0
andhra pradesh,vijayawada,2001,25,48,2,84,122,520,0
andhra pradesh,vijayawada rly.,2001,1,0,0,1,1,0,0
andhra pradesh,visakha rural,2001,12,12,3,67,48,99,0
andhra pradesh,visakhapatnam,2001,13,6,0,33,462,204,0
andhra pradesh,vizianagaram,2001,8,2,0,40,22,121,0
andhra pradesh,warangal,2001,53,25,52,241,0,165,0
andhra pradesh,west godavari,2001,61,21,15,246,56,348,0
arunachal pradesh,changlang,2001,1,2,0,3,0,0,0
arunachal pradesh,dibang valley,2001,2,4,0,4,0,2,0
arunachal pradesh,kameng east,2001,2,5,0,5,0,0,0
arunachal pradesh,kameng west,2001,0,2,0,0,0,0,0
arunachal pradesh,lohit,2001,2,6,0,8,0,0,0
arunachal pradesh,papum pare,2001,9,5,0,6,0,3,0
arunachal pradesh,siang east,2001,5,7,0,7,0,2,0
arunachal pradesh,siang upper,2001,2,5,0,3,0,0,0
arunachal pradesh,siang west,2001,4,10,0,25,2,2,0
arunachal pradesh,subansiri lower,2001,2,5,0,4,0,0,0
arunachal pradesh,subansiri upper,2001,2,1,0,8,0,2,0
arunachal pradesh,tawang,2001,1,0,0,5,1,0,0
arunachal pradesh,tirap,2001,1,3,0,0,0,0,0
assam,barpeta,2001,28,88,10,29,0,95,0
assam,bongaigaon,2001,20,21,1,22,0,26,0
assam,c.i.d.,2001,0,0,0,0,0,0,0
assam,cachar,2001,45,74,7,80,0,216,0
assam,darrang,2001,48,47,9,56,0,37,0
assam,dhemaji,2001,42,20,0,26,0,0,0
assam,dhubri,2001,43,51,5,49,0,111,0
assam,dibrugarh,2001,35,37,3,41,0,19,0
assam,g.r.p.,2001,1,0,0,0,0,0,0
assam,goalpara,2001,35,35,1,54,0,64,0
assam,golaghat,2001,30,40,0,23,0,26,0
assam,guwahati city,2001,37,64,5,67,0,98,0
assam,hailakandi,2001,24,34,2,27,0,28,0
assam,jorhat,2001,42,28,2,44,0,48,0
assam,kamrup,2001,21,65,2,42,0,27,0
assam,karbi anglong,2001,5,15,4,5,0,8,0
assam,karimganj,2001,33,8,1,9,0,30,0
assam,kokrajhar,2001,14,12,0,37,0,20,0
assam,lakhimpur,2001,64,62,0,22,0,93,0
assam,morigaon,2001,23,37,0,6,0,28,0
assam,n.c.hills,2001,2,4,0,2,0,7,0
assam,nagaon,2001,51,109,1,113,4,132,0
assam,nalbari,2001,30,27,3,16,0,15,0
assam,r.p.o.,2001,3,0,0,0,0,0,0
assam,sibsagar,2001,47,64,0,28,0,0,0
assam,sonitpur,2001,53,80,1,43,0,99,0
assam,tinsukia,2001,41,48,2,9,0,21,0
bihar,araria,2001,93,13,11,3,0,50,0
bihar,arwal,2001,0,0,7,11,0,14,0
bihar,aurangabad,2001,16,4,33,13,2,19,0
bihar,bagaha,2001,25,6,0,4,0,2,0
bihar,banka,2001,34,10,9,0,0,16,0
bihar,begusarai,2001,13,7,21,32,0,21,0
bihar,bettiah,2001,20,23,17,23,0,54,8
bihar,bhabhua,2001,10,12,8,7,0,22,0
bihar,bhagalpur,2001,35,9,20,15,0,52,0
bihar,bhojpur,2001,22,13,23,0,4,29,0
bihar,buxar,2001,8,1,15,0,0,0,0
bihar,darbhanga,2001,19,16,37,40,0,34,0
bihar,gaya,2001,25,15,26,27,0,24,0
bihar,gopalganj,2001,13,18,22,0,2,155,0
