,state_ut,district,year,rape,kidnapping_abduction,dowry_deaths,assault_intnt_outrage_modesty,inslt_modesty_women,cruelty_husban_reltvs,in_trafficking
1435,andhra pradesh,adilabad,2003,35,16,11,141,39,238,0
1436,andhra pradesh,anantapur,2003,19,45,4,224,45,146,0
1437,andhra pradesh,chittoor,2003,36,34,23,121,173,60,0
1438,andhra pradesh,cuddapah,2003,10,28,5,104,31,60,0
1439,andhra pradesh,cyberabad,2003,31,62,25,96,78,543,1
1440,andhra pradesh,east godavari,2003,18,35,11,150,110,357,0
1441,andhra pradesh,guntakal rly.,2003,1,1,0,2,0,0,0
1442,andhra pradesh,guntur,2003,46,77,22,228,99,399,0
1443,andhra pradesh,hyderabad city,2003,57,64,42,165,296,1082,0
1444,andhra pradesh,karimnagar,2003,88,67,53,362,132,602,1
1445,andhra pradesh,khammam,2003,45,35,17,162,246,180,0
1446,andhra pradesh,krishna,2003,45,16,20,186,107,317,0
1447,andhra pradesh,kurnool,2003,28,16,11,231,131,202,0
1448,andhra pradesh,mahaboobnagar,2003,69,33,19,179,36,238,0
1449,andhra pradesh,medak,2003,30,37,44,128,37,174,0
1450,andhra pradesh,nalgonda,2003,62,37,33,249,51,319,0
1451,andhra pradesh,nellore,2003,27,58,10,204,97,231,0
1452,andhra pradesh,nizamabad,2003,29,7,11,61,32,329,3
1453,andhra pradesh,prakasham,2003,22,31,13,133,149,114,0
1454,andhra pradesh,ranga reddy,2003,14,14,12,71,12,113,0
1455,andhra pradesh,secunderabad rly.,2003,0,0,0,0,0,0,0
1456,andhra pradesh,srikakulam,2003,9,4,7,58,44,147,0
1457,andhra pradesh,vijayawada,2003,27,45,7,170,146,1208,0
1458,andhra pradesh,vijayawada rly.,2003,0,0,0,0,3,0,0
1459,andhra pradesh,visakha rural,2003,15,15,3,54,16,89,0
1460,andhra pradesh,visakhapatnam,2003,9,20,3,11,30,146,0
1461,andhra pradesh,vizianagaram,2003,6,0,4,34,25,127,0
1462,andhra pradesh,warangal,2003,61,69,35,222,0,162,0
1463,andhra pradesh,west godavari,2003,107,65,21,382,121,584,0
1465,arunachal pradesh,changlang,2003,4,7,0,0,0,2,0
1466,arunachal pradesh,dibang valley,2003,2,1,0,1,0,5,0
1467,arunachal pradesh,k/kumey,2003,0,2,0,0,0,0,0
1468,arunachal pradesh,kameng east,2003,0,2,0,10,0,1,0
1469,arunachal pradesh,kameng west,2003,1,0,0,0,0,0,0
1470,arunachal pradesh,lohit,2003,1,14,0,5,0,1,0
1471,arunachal pradesh,papum pare,2003,3,8,0,7,0,1,0
1472,arunachal pradesh,siang east,2003,9,9,0,4,0,1,0
1473,arunachal pradesh,siang upper,2003,1,1,0,0,0,0,0
1474,arunachal pradesh,siang west,2003,5,4,0,6,0,1,0
1475,arunachal pradesh,subansiri lower,2003,3,0,0,0,0,0,0
1476,arunachal pradesh,subansiri upper,2003,1,2,0,0,0,0,0
1477,arunachal pradesh,tawang,2003,0,0,0,1,0,0,0
1478,arunachal pradesh,tirap,2003,1,0,0,9,0,2,0
1479,arunachal pradesh,upper dibang valley,2003,0,1,0,0,0,0,0
1481,assam,barpeta,2003,61,56,6,15,0,112,0
