STATE/UT,YEAR,Crime Head,No. Of Cases Reported,No. of Victims upto 10 years,No. of Victims 10-14 years,No. of Victims 14-18 years,No. of Victims 18-30 years,No. of Victims 30-50 years,No. of Victims above 50 years,Total Victims
Andhra Pradesh,2001,Incest cases,4,0,2,0,2,0,0,4
Andhra Pradesh,2001,Other rape cases,867,57,136,254,326,80,14,867
Andhra Pradesh,2001,Total,871,57,138,254,328,80,14,871
Andhra Pradesh,2002,Incest cases,5,0,2,0,3,0,0,5
Andhra Pradesh,2002,Other rape cases,997,35,65,35,706,148,8,997
Andhra Pradesh,2002,Total,1002,35,67,35,709,148,8,1002
Andhra Pradesh,2003,Total,946,33,135,215,429,127,7,946
Andhra Pradesh,2003,Other rape cases,931,30,133,214,422,125,7,931
Andhra Pradesh,2003,Incest cases,15,3,2,1,7,2,0,15
Andhra Pradesh,2004,Incest cases,5,1,0,3,1,0,0,5
Andhra Pradesh,2004,Total,1016,55,145,163,516,130,7,1016
Andhra Pradesh,2004,Other rape cases,1011,54,145,160,515,130,7,1011
Andhra Pradesh,2005,Incest cases,18,2,4,0,6,6,0,18
Andhra Pradesh,2005,Total,935,32,106,177,490,124,6,935
Andhra Pradesh,2005,Other rape cases,917,30,102,177,484,118,6,917
Andhra Pradesh,2006,Incest cases,1,0,0,0,1,0,0,1
Andhra Pradesh,2006,Other rape cases,1048,46,128,238,535,91,10,1048
Andhra Pradesh,2006,Total,1049,46,128,238,536,91,10,1049
Andhra Pradesh,2007,Incest cases,7,0,0,4,3,0,0,7
Andhra Pradesh,2007,Other rape cases,1063,52,110,197,569,128,7,1063
Andhra Pradesh,2007,Total,1070,52,110,201,572,128,7,1070
Andhra Pradesh,2008,Incest cases,13,2,2,1,5,1,2,13
Andhra Pradesh,2008,Total,1257,49,126,237,660,174,11,1257
Andhra Pradesh,2008,Other rape cases,1244,47,124,236,655,173,9,1244
Andhra Pradesh,2009,Incest cases,2,0,0,2,0,0,0,2
Andhra Pradesh,2009,Total,1188,41,167,208,642,116,14,1188
Andhra Pradesh,2009,Other rape cases,1186,41,167,206,642,116,14,1186
Andhra Pradesh,2010,Incest cases,0,0,0,0,0,0,0,0
Andhra Pradesh,2010,Other rape cases,1362,30,133,283,749,152,15,1362
Andhra Pradesh,2010,Total,1362,30,133,283,749,152,15,1362
Andhra Pradesh,2011,Incest cases,0,0,0,0,0,0,0,0
Andhra Pradesh,2011,Other rape cases,1442,99,147,400,652,136,8,1442
Andhra Pradesh,2011,Total,1442,99,147,400,652,136,8,1442
Andhra Pradesh,2012,Incest cases,0,0,0,0,0,0,0,0
