STATE/UT,CRIME,CASES REGISTERED,CASES CHARGESHEETED,CASES CONVICTED,PERSONS ARRESTED,PERSONS CHARGESHEETED,PERSONS CONVICTED
Andhra Pradesh,Assault on women with intent to outrage her Modest,6930,4814,285,6806,6274,387
Arunachal Pradesh,Assault on women with intent to outrage her Modest,93,53,7,81,63,8
Assam,Assault on women with intent to outrage her Modest,2409,1212,55,2538,1819,58
Bihar,Assault on women with intent to outrage her Modest,331,268,44,509,525,81
Chhattisgarh,Assault on women with intent to outrage her Modest,2261,2185,553,2551,2492,811
Goa,Assault on women with intent to outrage her Modest,162,93,3,170,109,3
Gujarat,Assault on women with intent to outrage her Modest,1243,1162,32,1756,1685,38
Haryana,Assault on women with intent to outrage her Modest,1560,1263,213,1785,1764,243
Himachal Pradesh,Assault on women with intent to outrage her Modest,493,398,38,565,538,60
Jammu & Kashmir,Assault on women with intent to outrage her Modest,1389,1248,89,2812,2810,150
Jharkhand,Assault on women with intent to outrage her Modest,524,453,99,552,496,119
Karnataka,Assault on women with intent to outrage her Modest,3913,3409,75,5909,5502,125
Kerala,Assault on women with intent to outrage her Modest,4362,3761,238,4406,4368,307
Madhya Pradesh,Assault on women with intent to outrage her Modest,8252,7948,1619,9699,9673,1894
Maharashtra,Assault on women with intent to outrage her Modest,8132,6368,303,10084,8306,359
Manipur,Assault on women with intent to outrage her Modest,59,6,0,51,6,0
Meghalaya,Assault on women with intent to outrage her Modest,98,66,2,116,71,4
Mizoram,Assault on women with intent to outrage her Modest,81,76,55,90,73,59
Nagaland,Assault on women with intent to outrage her Modest,18,14,17,14,1,7
Odisha,Assault on women with intent to outrage her Modest,4618,4205,108,6117,6119,204
Punjab,Assault on women with intent to outrage her Modest,1045,502,104,1132,725,173
Rajasthan,Assault on women with intent to outrage her Modest,4829,3045,877,4786,4782,1328
Sikkim,Assault on women with intent to outrage her Modest,29,28,24,29,29,24
Tamil Nadu,Assault on women with intent to outrage her Modest,1271,1201,378,1823,1943,536
Tripura,Assault on women with intent to outrage her Modest,407,357,35,460,439,45
Uttar Pradesh,Assault on women with intent to outrage her Modest,7303,6152,1336,12214,9641,1660
Uttarakhand,Assault on women with intent to outrage her Modest,295,243,58,394,391,119
West Bengal,Assault on women with intent to outrage her Modest,4913,5049,96,5426,5072,98
