States/UTs,Crime Head,Year,Cases pending investigation from previous year,Cases reported Under 156_3 during the year,Cases reported in Police Stations during the year,Cases reported during the year,No of victims in the registered cases,No of cases withdrawn by the Govt during investigation,Cases not investigated Under 157_1_b CRPC,Cases transferred to other Police Station or Magistrate,Cases ended as final report false,Cases ended as mistake of fact or of law,Cases in ended as final report as Non Cognizable Submitted,Cases Chargesheeted Out of Cases During the Year,Cases Chargesheeted Out of Cases from Previous Year,Cases Chargesheeted,Cases Not Chargesheeted but final report Submitted,Total cases Investigated,Cases pending investigation at the end of the year,Cases pending trial from the previous year,Cases sent for trial during the year,Cases withdrawn by the Govt,Cases disposed off by Plea Bargaining,Cases for Trial during the year,Cases compounded or withdrawn,Cases in which trials were completed,Cases  convicted Out of Cases During the Year,Cases  convicted Out of Cases from Previous Year,Cases convicted,Cases Acquitted Out of Cases During the Year,Cases Acquitted Out of Cases from Previous Year,Cases Acquitted or Discharged,Cases Pending Trial at the end of the year,Persons in custody during inv stage at beginning of Year_Male,Persons in custody during inv stage at beginning of Year_Female,Persons in custody during inv stage at beginning of Year_Total,Persons on bail during inv stage at beginning of Year_Male,Persons on bail during inv stage at beginning of Year_Female,Persons on bail during inv stage at beginning of Year_Total,Persons arrested during the year_Male,Persons arrested during the year_Female,Persons arrested during the year_Total,Persons released or freed before trial for want of evidence_Male,Persons released or freed before trial for want of evidence_Fem,Persons released or freed before trial for want of evidence_Tot,Persons in custody during inv stage at year end_Male,Persons in custody during inv stage at year end_Female,Persons in custody during inv stage at year end_Total,Persons on Bail during inv stage at year end_Male,Persons on Bail during inv stage at Year end_Female,Persons on Bail during inv stage at year end_Total,Persons charge sheeted_Male,Persons charge sheeted_Female,Persons charge sheeted_Total,Persons in custody during trial stage at begin of year_Male,Persons in custody during trial stage at begin of year_Female,Persons in custody during trial stage at begin of year_Total,Persons on Bail during trial stage at begin of year_Male,Persons on Bail during trial stage at begin of year_Female,Persons on Bail during trial stage at begin of year_Total,Total number of persons under Trial_Male,Total number of persons under Trial_Female,Total number of persons under Trial_Total,Persons against whom cases were compounded by Courts_Male,Persons against whom cases were compounded by Courts_Female,Persons against whom cases were compounded by Courts_Total,Persons against whom cases were withdrawn_Male,Persons against whom cases were withdrawn_Female,Persons against whom cases were withdrawn_Total,Persons in custody during trial stage at Year end_Male,Persons in custody during trial stage at Year end_Female,Persons in custody during trial stage at Year end_Total,Persons on bail during trial stage at Year End_Male,Persons on bail during trial stage at Year End_Female,Persons on bail during trial stage at Year End_Total,Persons whose cases trials were completed during the year_Male,Persons whose cases trials were completed during the year_Female,Persons whose cases trials were completed during the year_Total,Persons convicted_Male,Persons convicted_Female,Persons convicted_Total,Persons acquitted_Male,Persons acquitted_Female,Persons acquitted_Total,Persons Discharged by Court_Male,Persons Discharged by Court_Female,Persons Discharged by Court_Total
Andhra Pradesh,1 - Rape (Section 376 IPC),2014,602,9,952,961,962,0,0,9,31,5,0,255,395,650,13,699,855,1654,650,0,0,2304,11,469,0,59,59,3,407,410,1824,71,0,71,586,11,597,1191,46,1237,1,0,1,71,0,71,809,35,844,967,22,989,137,0,137,1852,36,1888,2956,58,3014,11,0,11,0,0,0,180,0,180,2085,46,2131,680,12,692,70,0,70,610,12,622,0,0,0
Andhra Pradesh,1.1 - Custodial Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,1.1.1 - Custodial_Gang Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,1.1.2 - Custodial_Other Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,1.2 - Rape other than Custodial,2014,602,9,952,961,962,0,0,9,31,5,0,255,395,650,13,699,855,1654,650,0,0,2304,11,469,0,59,59,3,407,410,1824,71,0,71,586,11,597,1191,46,1237,1,0,1,71,0,71,809,35,844,967,22,989,137,0,137,1852,36,1888,2956,58,3014,11,0,11,0,0,0,180,0,180,2085,46,2131,680,12,692,70,0,70,610,12,622,0,0,0
Andhra Pradesh,1.2.1 - Rape_Gang Rape,2014,8,0,14,14,14,0,0,0,0,1,0,2,6,8,0,9,13,14,8,0,0,22,0,5,0,0,0,0,5,5,17,0,0,0,7,0,7,24,0,24,0,0,0,0,0,0,22,0,22,9,0,9,0,0,0,53,1,54,62,1,63,0,0,0,0,0,0,0,0,0,51,1,52,11,0,11,0,0,0,11,0,11,0,0,0
Andhra Pradesh,1.2.2 - Rape_Others,2014,594,9,938,947,948,0,0,9,31,4,0,253,389,642,13,690,842,1640,642,0,0,2282,11,464,0,59,59,3,402,405,1807,71,0,71,579,11,590,1167,46,1213,1,0,1,71,0,71,787,35,822,958,22,980,137,0,137,1799,35,1834,2894,57,2951,11,0,11,0,0,0,180,0,180,2034,45,2079,669,12,681,70,0,70,599,12,611,0,0,0
Andhra Pradesh,2 - Attempt to commit Rape (Section 376 & 511 IPC),2014,48,2,163,165,165,0,0,0,18,1,0,69,32,101,5,125,88,111,101,0,0,212,10,69,0,6,6,3,60,63,133,1,0,1,29,0,29,173,0,173,0,0,0,1,0,1,79,0,79,123,0,123,0,0,0,136,0,136,259,0,259,10,0,10,0,0,0,0,0,0,171,0,171,78,0,78,6,0,6,72,0,72,0,0,0
Andhra Pradesh,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",2014,439,8,713,721,806,0,0,1,155,56,0,243,221,464,21,696,463,1104,464,0,0,1568,18,334,1,11,12,19,303,322,1216,12,0,12,463,22,485,980,59,1039,1,0,1,38,1,39,537,44,581,879,36,915,21,9,30,1525,39,1564,2425,84,2509,29,0,29,0,0,0,51,1,52,1537,46,1583,808,37,845,19,0,19,789,37,826,0,0,0
Andhra Pradesh,3.1 - Kidnaping & Abduction Section 363 IPC,2014,68,1,179,180,249,0,0,1,29,17,0,62,49,111,3,160,87,227,111,0,0,338,3,63,1,4,5,4,54,58,272,8,0,8,56,5,61,169,21,190,1,0,1,11,0,11,86,20,106,135,6,141,0,0,0,307,8,315,442,14,456,3,0,3,0,0,0,12,0,12,339,6,345,88,8,96,5,0,5,83,8,91,0,0,0
